id,nev,szekhelyid,adoszam,email,telefon
794,Balázs Botond,1103,67649735-2-15,Balázs.Botond@email.hu,+36157738565
795,Gál Zoé,43,23536859-2-15,Gál.Zoé@email.hu,+36181533484
796,Halász Noel,656,75256709-1-42,Halász.Noel@email.hu,+36772831615
797,Somogyi Petra,1218,33069280-2-05,Somogyi.Petra@email.hu,+36374979806
798,Pap Lili,2475,12091014-1-15,Pap.Lili@email.hu,+36892091241
799,Fekete Bálint,2853,23851078-2-25,Fekete.Bálint@email.hu,+36687643570
800,Sándor Róbert,350,33661334-1-15,Sándor.Róbert@email.hu,+36151648029
801,Kiss Rozina,2087,61128734-1-15,Kiss.Rozina@email.hu,+36235121117
802,Soós Bertalan,2555,88694683-1-03,Soós.Bertalan@email.hu,+36613178474
803,Fodor Zita,2610,62273037-1-42,Fodor.Zita@email.hu,+36759007571
804,Rácz Áron,1858,90388854-2-15,Rácz.Áron@email.hu,+36750949002
805,Bálint Zénó,2802,80043426-2-03,Bálint.Zénó@email.hu,+36715617536
806,Bakos Iván,1691,28987851-2-41,Bakos.Iván@email.hu,+36868920727
807,Székely Annabella,140,21957036-1-15,Székely.Annabella@email.hu,+36115625405
808,Hajas Márton,349,52412304-2-07,Hajas.Márton@email.hu,+36810904333
809,Szücs Richárd,847,15638139-2-35,Szücs.Richárd@email.hu,+36572400766
810,Boros Zalán,603,55300200-2-10,Boros.Zalán@email.hu,+36910148457
811,Somogyi Barnabás,526,47532692-1-25,Somogyi.Barnabás@email.hu,+36666908725
812,Hajdu Kitti,331,87293114-1-25,Hajdu.Kitti@email.hu,+36838346962
813,Novák Vince,370,10031056-2-25,Novák.Vince@email.hu,+36946109299
814,Szilágyi Blanka,570,34961190-1-07,Szilágyi.Blanka@email.hu,+36414100172
815,Péter Nikolasz,1055,18376356-2-03,Péter.Nikolasz@email.hu,+36163455062
816,Kis Barbara,645,17988242-1-10,Kis.Barbara@email.hu,+36963549154
817,Gáspár Bella,2974,87364826-2-42,Gáspár.Bella@email.hu,+36842615535
818,Hegedüs Alíz,1608,56101149-1-05,Hegedüs.Alíz@email.hu,+36371828874
819,Vass Dorina,1991,37837181-2-25,Vass.Dorina@email.hu,+36128979772
820,Halász Rikárdó,2690,82556209-2-30,Halász.Rikárdó@email.hu,+36979103105
821,Vörös Bianka,644,23021493-2-15,Vörös.Bianka@email.hu,+36497298693
822,Pál Szonja,2298,36625013-1-25,Pál.Szonja@email.hu,+36365488463
823,Lengyel Júlia,343,47596836-1-25,Lengyel.Júlia@email.hu,+36222553571
824,Tóth Botond,1954,27995982-2-30,Tóth.Botond@email.hu,+36987010496
825,Bakos Gellért,1916,31949100-1-41,Bakos.Gellért@email.hu,+36687776299
826,Hajdu Johanna,2251,55163724-1-30,Hajdu.Johanna@email.hu,+36550560270
827,Pintér Csongor,1044,72715047-2-05,Pintér.Csongor@email.hu,+36235588119
828,Major Panna,1090,75479102-2-07,Major.Panna@email.hu,+36268127905
829,Kozma Botond,1181,22815799-1-05,Kozma.Botond@email.hu,+36482260342
830,Hajdu Enikő,2936,63445443-1-15,Hajdu.Enikő@email.hu,+36479842231
831,Balogh Máté,200,67442017-2-41,Balogh.Máté@email.hu,+36151845435
832,Mészáros András,972,40744025-2-30,Mészáros.András@email.hu,+36599534304
833,Vass Adrián,2173,95009217-2-30,Vass.Adrián@email.hu,+36458845672
834,Bogdán Dominik,2807,94071043-2-42,Bogdán.Dominik@email.hu,+36463433671
835,Vass Mátyás,1635,88655189-2-07,Vass.Mátyás@email.hu,+36263545638
836,Sándor Kinga,1208,49211884-2-30,Sándor.Kinga@email.hu,+36777522447
837,Szilágyi Csongor,2819,76782959-1-25,Szilágyi.Csongor@email.hu,+36531731347
838,Szűcs Elizabet,1129,48657945-1-05,Szűcs.Elizabet@email.hu,+36526549561
839,Bakos Norina,2680,96712998-1-42,Bakos.Norina@email.hu,+36902730302
840,Deák Gréta,2549,45025780-2-41,Deák.Gréta@email.hu,+36779265342
841,Simon Liliána,1782,84189121-1-15,Simon.Liliána@email.hu,+36163046426
842,Szalai János,2981,40571633-1-03,Szalai.János@email.hu,+36921508118
843,Szabó Lotti,344,17501964-1-05,Szabó.Lotti@email.hu,+36620237461
844,Mezei Bence,1012,94677175-2-35,Mezei.Bence@email.hu,+36843752947
845,Barna Martin,1162,36372816-2-03,Barna.Martin@email.hu,+36112123374
846,Borbély Dóra,1193,49370844-2-41,Borbély.Dóra@email.hu,+36166101926
847,Orbán Mira,1593,60645774-1-41,Orbán.Mira@email.hu,+36559776095
848,Hegedüs Letícia,2877,44533785-2-41,Hegedüs.Letícia@email.hu,+36209473818
849,Tóth Zsófia,2352,19507885-1-07,Tóth.Zsófia@email.hu,+36909707861
850,Jónás Gellért,1702,65783124-2-05,Jónás.Gellért@email.hu,+36133408688
851,Lengyel Dávid,2986,48126389-2-25,Lengyel.Dávid@email.hu,+36845640437
852,Katona Kiara,1913,37202637-2-25,Katona.Kiara@email.hu,+36918575289
853,Szücs Elizabet,2788,34488340-2-15,Szücs.Elizabet@email.hu,+36778535828
854,Szilágyi Szilárd,2466,91529374-2-15,Szilágyi.Szilárd@email.hu,+36623964823
855,Veres Vilmos,2011,70874347-2-25,Veres.Vilmos@email.hu,+36569773693
856,Simon Milán,2093,84738227-1-15,Simon.Milán@email.hu,+36785057011
857,Faragó Dénes,1517,11332354-2-10,Faragó.Dénes@email.hu,+36406049263
858,Tóth Adél,2960,94511562-1-03,Tóth.Adél@email.hu,+36687421434
859,Hajas Krisztofer,2245,28674261-2-15,Hajas.Krisztofer@email.hu,+36978597061
860,Vass Csongor,2854,85114209-2-07,Vass.Csongor@email.hu,+36180481625
861,Szilágyi Leila,2950,16507310-1-15,Szilágyi.Leila@email.hu,+36648756967
862,Fábián Bence,1354,96712440-2-35,Fábián.Bence@email.hu,+36762921858
863,Balogh Zita,1472,89831012-2-41,Balogh.Zita@email.hu,+36344068350
864,Jónás Attila,215,12427202-1-41,Jónás.Attila@email.hu,+36107982894
865,Németh Barbara,2707,48092689-2-03,Németh.Barbara@email.hu,+36773727381
866,Molnár Alexandra,1859,67023173-2-15,Molnár.Alexandra@email.hu,+36982798779
867,Major Donát,462,52518404-2-15,Major.Donát@email.hu,+36394925649
868,Mészáros Levente,2865,66194517-1-05,Mészáros.Levente@email.hu,+36498099987
869,Fodor Ármin,1239,96540506-1-25,Fodor.Ármin@email.hu,+36165978893
870,Balázs Vencel,2151,29398978-1-05,Balázs.Vencel@email.hu,+36301356973
871,Bakos Viktor,130,91439788-1-10,Bakos.Viktor@email.hu,+36447242165
872,Török Róza,1149,98941387-2-35,Török.Róza@email.hu,+36331490333
873,Gáspár Lilla,1232,19622657-1-03,Gáspár.Lilla@email.hu,+36384522931
874,Pásztor Norina,1746,53045907-2-07,Pásztor.Norina@email.hu,+36265138788
875,Kis Viktória,213,58601594-2-03,Kis.Viktória@email.hu,+36831481038
876,Varga Ármin,2965,42684367-1-07,Varga.Ármin@email.hu,+36491214934
877,Fodor Tamara,1259,79357555-2-42,Fodor.Tamara@email.hu,+36660675360
878,Bogdán Mira,1634,13154168-1-10,Bogdán.Mira@email.hu,+36294224981
879,Pataki Liliána,97,51857672-1-15,Pataki.Liliána@email.hu,+36890311480
880,Pap Olívia,27,42812762-2-25,Pap.Olívia@email.hu,+36537098732
881,Illés Benedek,2962,54752456-1-10,Illés.Benedek@email.hu,+36906208533
882,Szilágyi Kevin,472,88415768-1-05,Szilágyi.Kevin@email.hu,+36941538660
883,Fülöp Dominik,1042,26205723-1-25,Fülöp.Dominik@email.hu,+36273844402
884,Gáspár Gyula,1782,17267181-1-25,Gáspár.Gyula@email.hu,+36364276013
885,Kozma Liliána,2254,75553560-2-15,Kozma.Liliána@email.hu,+36549626152
886,Bogdán Panka,591,90473886-1-41,Bogdán.Panka@email.hu,+36148694504
887,Fekete Alex,487,66490192-2-35,Fekete.Alex@email.hu,+36736422835
888,Lakatos Júlia,2010,63714349-1-35,Lakatos.Júlia@email.hu,+36750305207
889,Illés Szebasztián,101,83431203-1-41,Illés.Szebasztián@email.hu,+36809084335
890,Oláh Zalán,1846,64151468-2-10,Oláh.Zalán@email.hu,+36393912985
891,Kis Barnabás,1994,98114037-1-41,Kis.Barnabás@email.hu,+36386897544
892,Faragó Luca,2163,42505904-2-03,Faragó.Luca@email.hu,+36759734271
893,Soós István,1188,80218190-2-10,Soós.István@email.hu,+36463376858
894,Pataki Ármin,2129,71833296-2-35,Pataki.Ármin@email.hu,+36737673036
895,Balogh Csanád,1902,88752976-2-05,Balogh.Csanád@email.hu,+36145932734
896,Gál Zoé,2731,47711188-1-05,Gál.Zoé@email.hu,+36315548926
897,Barta Zétény,814,10975127-2-35,Barta.Zétény@email.hu,+36592864126
898,Szabó Gellért,2433,65309268-2-30,Szabó.Gellért@email.hu,+36527678926
899,Szőke Leila,609,16818993-1-07,Szőke.Leila@email.hu,+36985449925
900,Orosz Patrik,1607,29584149-1-42,Orosz.Patrik@email.hu,+36944748952
901,Novák Vanda,36,57086947-2-05,Novák.Vanda@email.hu,+36686600635
902,Király Miklós,1032,54685763-1-15,Király.Miklós@email.hu,+36977100466
903,Balázs Mirkó,942,98227784-2-41,Balázs.Mirkó@email.hu,+36958919282
904,Somogyi Bence,2504,50343413-1-41,Somogyi.Bence@email.hu,+36623775247
905,Fábián Leila,877,34577842-2-42,Fábián.Leila@email.hu,+36601590881
906,Simon Levente,1141,99419507-2-30,Simon.Levente@email.hu,+36529574463
907,Gulyás Péter,2984,77814486-1-03,Gulyás.Péter@email.hu,+36549476718
908,Vörös Amira,347,41676939-1-35,Vörös.Amira@email.hu,+36528821398
909,Lengyel Adél,1557,93162286-2-05,Lengyel.Adél@email.hu,+36707908142
910,Török Kincső,1349,88424486-2-42,Török.Kincső@email.hu,+36993983118
911,Pál Benett,139,65615178-2-41,Pál.Benett@email.hu,+36139806010
912,Fehér Panna,2187,58412692-2-25,Fehér.Panna@email.hu,+36127248640
913,Novák Elizabet,2168,12888397-1-42,Novák.Elizabet@email.hu,+36712534311
914,Szűcs Jázmin,1523,46096005-1-15,Szűcs.Jázmin@email.hu,+36456922688
915,Máté Botond,2196,90596259-1-15,Máté.Botond@email.hu,+36189697450
916,Jónás Nóra,1784,78326048-1-03,Jónás.Nóra@email.hu,+36622642665
917,Soós Regina,2616,40741223-2-35,Soós.Regina@email.hu,+36504501814
918,Molnár Nándor,1993,42798338-2-41,Molnár.Nándor@email.hu,+36895216695
919,Szücs Bendegúz,265,87108147-2-07,Szücs.Bendegúz@email.hu,+36473781100
920,Király Kamilla,1421,17853309-2-03,Király.Kamilla@email.hu,+36640457236
921,Bálint Lajos,676,60767487-2-07,Bálint.Lajos@email.hu,+36261800303
922,László Mirkó,756,49038561-1-07,László.Mirkó@email.hu,+36560044799
923,Kocsis Simon,2068,42997821-1-30,Kocsis.Simon@email.hu,+36604440010
924,Soós Olivér,1697,92623544-2-35,Soós.Olivér@email.hu,+36687490267
925,Halász Bence,2460,81519447-1-30,Halász.Bence@email.hu,+36829883787
926,Bálint Alíz,271,19168391-2-41,Bálint.Alíz@email.hu,+36602932252
927,Németh Mirkó,2265,78957703-2-05,Németh.Mirkó@email.hu,+36783537833
928,Pál Nimród,1407,98023866-2-42,Pál.Nimród@email.hu,+36562274253
929,Katona Hunor,2147,24527437-2-41,Katona.Hunor@email.hu,+36134630414
930,Székely Emese,2785,71124912-2-30,Székely.Emese@email.hu,+36531356471
931,Hegedüs Kata,1457,91943746-2-03,Hegedüs.Kata@email.hu,+36813775165
932,Kovács Zoltán,1130,74282793-2-03,Kovács.Zoltán@email.hu,+36148420793
933,Orosz Szebasztián,330,56569681-1-30,Orosz.Szebasztián@email.hu,+36224199414
934,Papp Benjamin,793,82508030-1-41,Papp.Benjamin@email.hu,+36860986886
935,Fazekas Luca,2295,45960322-1-42,Fazekas.Luca@email.hu,+36765922455
936,Szekeres Maja,1235,60301199-1-15,Szekeres.Maja@email.hu,+36844532426
937,Hajdu Jázmin,1833,50422489-2-30,Hajdu.Jázmin@email.hu,+36898043735
938,Kozma Kinga,842,36096816-1-07,Kozma.Kinga@email.hu,+36565493513
939,Hegedüs Norbert,210,42923845-1-05,Hegedüs.Norbert@email.hu,+36678109490
940,Pintér Iván,417,36368559-2-10,Pintér.Iván@email.hu,+36935476047
941,Dudás Vivien,2909,72893906-2-03,Dudás.Vivien@email.hu,+36514642144
942,Kocsis Bendegúz,2444,85047760-2-25,Kocsis.Bendegúz@email.hu,+36223025795
943,Fekete Emese,2757,30786569-2-10,Fekete.Emese@email.hu,+36957821423
944,Hajas Vencel,1056,55241223-2-25,Hajas.Vencel@email.hu,+36730525576
945,Pintér Bella,1011,58770797-1-35,Pintér.Bella@email.hu,+36269531334
946,Kozma Csaba,2111,99935851-1-42,Kozma.Csaba@email.hu,+36275073262
947,Dudás Mira,2298,89852014-2-15,Dudás.Mira@email.hu,+36962624318
948,Szalai Szebasztián,1969,94356692-2-15,Szalai.Szebasztián@email.hu,+36921878528
949,Nemes Milán,2237,41471543-2-41,Nemes.Milán@email.hu,+36563399945
950,Papp Szófia,2422,70661435-1-15,Papp.Szófia@email.hu,+36438714426
951,Papp Emma,2419,67204471-2-35,Papp.Emma@email.hu,+36726471470
952,Illés Petra,1124,28411295-2-42,Illés.Petra@email.hu,+36613071789
953,Molnár Marcell,1472,38435627-1-05,Molnár.Marcell@email.hu,+36969322184
954,Csonka Ádám,1492,59200191-2-35,Csonka.Ádám@email.hu,+36360417048
955,Vörös Boglárka,236,29051168-2-42,Vörös.Boglárka@email.hu,+36698373008
956,Rácz Soma,1584,68282892-2-05,Rácz.Soma@email.hu,+36141980194
957,Virág Tamara,1267,71922449-2-10,Virág.Tamara@email.hu,+36388084815
958,Balogh Richárd,1549,65838747-2-30,Balogh.Richárd@email.hu,+36286853375
959,Orosz Kinga,2348,29058473-1-35,Orosz.Kinga@email.hu,+36709315818
960,Major Zétény,2910,75643958-1-42,Major.Zétény@email.hu,+36914082987
961,Hegedüs Imre,1180,80696310-2-05,Hegedüs.Imre@email.hu,+36661460988
962,Antal Eliza,883,40025127-1-35,Antal.Eliza@email.hu,+36902626823
963,Szekeres Csongor,503,77384008-1-15,Szekeres.Csongor@email.hu,+36409615344
964,Fábián Jázmin,1076,82271880-2-42,Fábián.Jázmin@email.hu,+36191976030
965,Takács Blanka,2196,56715246-1-30,Takács.Blanka@email.hu,+36195632311
966,Szalai Abigél,1313,51566891-2-30,Szalai.Abigél@email.hu,+36906809575
967,Sándor Márk,1162,62077518-2-42,Sándor.Márk@email.hu,+36818473584
968,Kelemen Bendegúz,680,80614872-2-41,Kelemen.Bendegúz@email.hu,+36766971783
969,Vincze Norina,1532,60370189-2-41,Vincze.Norina@email.hu,+36606424590
970,Somogyi Benjámin,266,90529567-2-07,Somogyi.Benjámin@email.hu,+36260589382
971,Székely Mirella,2254,88138064-2-07,Székely.Mirella@email.hu,+36640023288
972,Barna Fruzsina,1079,64878913-2-03,Barna.Fruzsina@email.hu,+36854432659
973,Szekeres Regina,1088,60108999-2-35,Szekeres.Regina@email.hu,+36232531564
974,Hajas Dóra,2152,20974096-1-15,Hajas.Dóra@email.hu,+36453729411
975,Szalai Kiara,816,95193908-2-25,Szalai.Kiara@email.hu,+36141239451
976,Varga Dominik,536,35954234-1-07,Varga.Dominik@email.hu,+36954198866
977,Faragó Boldizsár,303,78486499-2-35,Faragó.Boldizsár@email.hu,+36517647734
978,Tamás Kiara,317,47991104-2-30,Tamás.Kiara@email.hu,+36789338792
979,Pintér Kristóf,2990,94087254-1-25,Pintér.Kristóf@email.hu,+36433383292
980,Bodnár Maja,2653,41818102-1-10,Bodnár.Maja@email.hu,+36570234884
981,Fülöp Barbara,276,79550882-1-05,Fülöp.Barbara@email.hu,+36555732292
982,Váradi Johanna,2600,44835517-1-10,Váradi.Johanna@email.hu,+36777083663
983,Sándor Annabella,1473,26786830-1-41,Sándor.Annabella@email.hu,+36914298666
984,Szabó Soma,2029,14100509-1-05,Szabó.Soma@email.hu,+36611340345
985,Biró Vince,2670,64154948-2-42,Biró.Vince@email.hu,+36720309359
986,Borbély Gergő,2636,33766958-1-15,Borbély.Gergő@email.hu,+36216127736
987,Lengyel Dalma,1961,96081673-1-30,Lengyel.Dalma@email.hu,+36994522966
988,Kis János,1142,57603996-2-35,Kis.János@email.hu,+36779206724
989,Rácz Liza,2861,23691369-2-07,Rácz.Liza@email.hu,+36178038237
990,Mezei Ádám,16,37911936-1-35,Mezei.Ádám@email.hu,+36639366620
991,Soós Lilla,2272,48613256-2-30,Soós.Lilla@email.hu,+36471871970
992,Magyar Gergő,2588,44818249-1-25,Magyar.Gergő@email.hu,+36626614720
993,Szekeres Kinga,798,67272849-1-10,Szekeres.Kinga@email.hu,+36771602053
994,Székely Rozina,2603,27514393-1-10,Székely.Rozina@email.hu,+36679450862
995,Fekete Panka,1541,15906754-2-05,Fekete.Panka@email.hu,+36289439419
996,Horváth Szofia,1331,93103286-1-42,Horváth.Szofia@email.hu,+36527439679
997,Horváth Szofia,1246,67898258-2-30,Horváth.Szofia@email.hu,+36728834810
998,Szűcs Krisztián,985,98749194-1-35,Szűcs.Krisztián@email.hu,+36781269752
999,Máté Simon,1164,58760482-2-15,Máté.Simon@email.hu,+36550317623
1000,Hajdu Borbála,2002,67438412-2-05,Hajdu.Borbála@email.hu,+36278146117
1001,Horváth Letícia,255,98092839-2-07,Horváth.Letícia@email.hu,+36372024036
1002,Varga Zoltán,923,69471648-1-42,Varga.Zoltán@email.hu,+36211076894
1003,Somogyi Krisztofer,2741,94221009-2-42,Somogyi.Krisztofer@email.hu,+36330878297
1004,Takács Zsófia,1276,11176483-1-42,Takács.Zsófia@email.hu,+36318234922
1005,Farkas Bianka,2472,42757876-2-35,Farkas.Bianka@email.hu,+36714115496
1006,Márton Zsófia,644,62560063-1-07,Márton.Zsófia@email.hu,+36787463169
1007,Biró Lilien,2340,28536802-1-07,Biró.Lilien@email.hu,+36395964584
1008,Fábián Richárd,1624,77696037-1-03,Fábián.Richárd@email.hu,+36531017133
1009,László Vanessza,2980,24240789-1-35,László.Vanessza@email.hu,+36234601956
1010,Sipos Nikolasz,2004,53331440-2-15,Sipos.Nikolasz@email.hu,+36659598500
1011,Márton Amira,586,50030900-2-03,Márton.Amira@email.hu,+36539756818
1012,Bodnár Panna,255,84165850-1-07,Bodnár.Panna@email.hu,+36514170381
1013,Veres Kitti,863,31985999-1-30,Veres.Kitti@email.hu,+36768894441
1014,Hegedűs Botond,1999,47474877-1-05,Hegedűs.Botond@email.hu,+36154505293
1015,Kovács Zsombor,1939,56327581-1-35,Kovács.Zsombor@email.hu,+36373775054
1016,Németh Szabolcs,884,96095299-2-15,Németh.Szabolcs@email.hu,+36799801683
1017,Pásztor Olívia,1713,73472802-1-15,Pásztor.Olívia@email.hu,+36903752515
1018,Fábián Johanna,779,33518006-2-03,Fábián.Johanna@email.hu,+36713699356
1019,Szabó Zétény,709,78351439-2-07,Szabó.Zétény@email.hu,+36387091029
1020,Balla Alexander,1864,83182794-1-35,Balla.Alexander@email.hu,+36894928933
1021,Király Adél,1655,15719725-1-25,Király.Adél@email.hu,+36827710967
1022,Faragó Bianka,2324,64708028-1-07,Faragó.Bianka@email.hu,+36954691218
1023,Kovács Kolos,123,27158010-1-42,Kovács.Kolos@email.hu,+36604357906
1024,Kocsis Alíz,820,82692759-1-30,Kocsis.Alíz@email.hu,+36882482329
1025,Gulyás Zsófia,298,12150818-1-42,Gulyás.Zsófia@email.hu,+36704141770
1026,Juhász Léna,1970,13554323-2-07,Juhász.Léna@email.hu,+36928832926
1027,Pál Bella,2585,57840570-2-07,Pál.Bella@email.hu,+36998254963
1028,Barta Adél,789,92829112-1-05,Barta.Adél@email.hu,+36468505060
1029,Bognár Szilárd,2915,65301848-2-03,Bognár.Szilárd@email.hu,+36179714351
1030,Tóth Kata,1789,62325128-2-05,Tóth.Kata@email.hu,+36529224130
1031,Jónás Benedek,1594,28290482-2-42,Jónás.Benedek@email.hu,+36240788416
1032,Király Milla,1622,39971811-2-25,Király.Milla@email.hu,+36651802340
1033,Tamás Nándor,1457,49465128-1-03,Tamás.Nándor@email.hu,+36254445528
1034,Fodor Dávid,292,86883348-1-42,Fodor.Dávid@email.hu,+36170661534
1035,Biró Krisztofer,1703,93959768-2-10,Biró.Krisztofer@email.hu,+36213635207
1036,Szilágyi Nóra,1656,70313741-2-03,Szilágyi.Nóra@email.hu,+36360079757
1037,Hajdu Bendegúz,2163,10849014-1-35,Hajdu.Bendegúz@email.hu,+36461629725
1038,Kiss Kornél,2501,75844854-1-07,Kiss.Kornél@email.hu,+36611488103
1039,Fábián Gyula,1861,31577139-2-35,Fábián.Gyula@email.hu,+36812649207
1040,Balogh Flórián,1331,61829391-2-15,Balogh.Flórián@email.hu,+36848270548
1041,Pintér Erik,2600,65464663-1-35,Pintér.Erik@email.hu,+36735587510
1042,Máté Flórián,2641,78620142-1-42,Máté.Flórián@email.hu,+36478930192
1043,Bálint Áron,465,93597713-2-07,Bálint.Áron@email.hu,+36560029127
1044,Bálint Kristóf,161,30594436-1-10,Bálint.Kristóf@email.hu,+36433864094
1045,Halász Tamás,1734,48115543-1-07,Halász.Tamás@email.hu,+36115034161
1046,Faragó Olívia,1322,24681912-2-05,Faragó.Olívia@email.hu,+36873125947
1047,Vincze Dorottya,1029,73066756-1-15,Vincze.Dorottya@email.hu,+36773144637
1048,Juhász Mira,1103,80032479-2-05,Juhász.Mira@email.hu,+36632521119
1049,Kelemen Liliána,2968,31421318-1-42,Kelemen.Liliána@email.hu,+36321100167
1050,Novák Gellért,2960,70045960-1-03,Novák.Gellért@email.hu,+36405062094
1051,Mezei Mia,1922,79864989-1-07,Mezei.Mia@email.hu,+36539111522
1052,Balogh Petra,2771,94614758-1-15,Balogh.Petra@email.hu,+36930559811
1053,Szekeres Kiara,2580,80632261-2-03,Szekeres.Kiara@email.hu,+36409603082
1054,Hegedűs Szonja,1604,35812194-2-07,Hegedűs.Szonja@email.hu,+36570813048
1055,Kiss Marcell,2651,21953194-2-05,Kiss.Marcell@email.hu,+36365859507
1056,Novák Benett,234,93619318-1-41,Novák.Benett@email.hu,+36332757176
1057,Pásztor Mirkó,105,12548145-1-41,Pásztor.Mirkó@email.hu,+36522143346
1058,Péter Viktória,1226,71762756-2-03,Péter.Viktória@email.hu,+36363820326
1059,Váradi Lia,283,59260171-1-25,Váradi.Lia@email.hu,+36529517510
1060,Bodnár Kitti,2805,89438060-1-03,Bodnár.Kitti@email.hu,+36700706928
1061,Takács Nóra,363,64953999-2-25,Takács.Nóra@email.hu,+36704632564
1062,Mészáros Mia,856,85942195-2-41,Mészáros.Mia@email.hu,+36842883882
1063,Székely Viktória,1013,72628695-2-25,Székely.Viktória@email.hu,+36366727140
1064,Papp Mirella,496,22150167-1-30,Papp.Mirella@email.hu,+36620802184
1065,Sipos Zalán,2714,85275464-1-41,Sipos.Zalán@email.hu,+36434234444
1066,Lukács Mira,1268,70293594-2-10,Lukács.Mira@email.hu,+36803378836
1067,Veres Bendegúz,1102,94935228-1-03,Veres.Bendegúz@email.hu,+36275149212
1068,Barta Blanka,2875,95337156-1-03,Barta.Blanka@email.hu,+36613657265
1069,Faragó Kolos,2599,13749615-2-42,Faragó.Kolos@email.hu,+36856294445
1070,Veres Csongor,2586,46248347-1-07,Veres.Csongor@email.hu,+36929119655
1071,Balogh Kiara,1025,55480792-1-07,Balogh.Kiara@email.hu,+36353596316
1072,Sándor Benjámin,1516,57862455-1-35,Sándor.Benjámin@email.hu,+36307688771
1073,Jónás Richárd,1222,62175374-1-41,Jónás.Richárd@email.hu,+36816474508
1074,Bognár Gellért,1682,76756554-1-30,Bognár.Gellért@email.hu,+36454244839
1075,Magyar Milán,1567,77952637-1-25,Magyar.Milán@email.hu,+36174765782
1076,Biró Kata,1318,87334088-1-05,Biró.Kata@email.hu,+36364205134
1077,Varga Lajos,1163,31344821-2-25,Varga.Lajos@email.hu,+36410086450
1078,Juhász Zsolt,2265,56798080-1-10,Juhász.Zsolt@email.hu,+36185918170
1079,Orsós Gergely,1390,94811723-1-05,Orsós.Gergely@email.hu,+36782872527
1080,Simon Dorka,1280,47703412-2-35,Simon.Dorka@email.hu,+36746440180
1081,Szalai Zénó,246,90722072-2-10,Szalai.Zénó@email.hu,+36171112648
1082,Rácz Dávid,787,38042598-1-42,Rácz.Dávid@email.hu,+36381158203
1083,Szilágyi Elizabet,125,31642301-1-10,Szilágyi.Elizabet@email.hu,+36162829252
1084,Veres Hanga,2258,55490394-2-25,Veres.Hanga@email.hu,+36690076615
1085,Kozma Dalma,2171,42694645-2-07,Kozma.Dalma@email.hu,+36905536966
1086,Lukács Richárd,1127,83910230-2-07,Lukács.Richárd@email.hu,+36225652962
1087,Juhász Dorottya,1346,19574056-1-03,Juhász.Dorottya@email.hu,+36257623618
1088,Varga Csongor,2157,73887440-2-10,Varga.Csongor@email.hu,+36599056838
1089,Mezei Borbála,2944,35164661-2-35,Mezei.Borbála@email.hu,+36720226385
1090,Gál Márton,773,60574956-2-10,Gál.Márton@email.hu,+36796302389
1091,Mészáros Emili,856,28000103-2-03,Mészáros.Emili@email.hu,+36753360769
1092,Váradi Gellért,242,89320763-2-05,Váradi.Gellért@email.hu,+36113233758
1093,Pintér Kornél,1522,76819189-2-25,Pintér.Kornél@email.hu,+36997394950
1094,Halász Bendegúz,1359,92373584-1-07,Halász.Bendegúz@email.hu,+36127366638
1095,Hajdu Blanka,273,57109897-2-15,Hajdu.Blanka@email.hu,+36159062343
1096,Soós Zsolt,1049,39756975-2-15,Soós.Zsolt@email.hu,+36808127986
1097,Jónás Bianka,932,66225952-2-42,Jónás.Bianka@email.hu,+36127627411
1098,Török Olivér,2273,41682053-2-42,Török.Olivér@email.hu,+36854651301
1099,Mezei Norina,2750,95553477-1-03,Mezei.Norina@email.hu,+36915054009
1100,Balogh Nikolasz,2770,38056454-2-35,Balogh.Nikolasz@email.hu,+36227079683
1101,Papp Csaba,2524,79981189-2-35,Papp.Csaba@email.hu,+36613401094
1102,Szalai Milla,458,37964106-2-05,Szalai.Milla@email.hu,+36174911731
1103,Péter Veronika,807,36517371-2-10,Péter.Veronika@email.hu,+36691651032
1104,Lengyel Márton,2685,45407478-1-15,Lengyel.Márton@email.hu,+36307404870
1105,Váradi Zénó,1240,74799674-1-10,Váradi.Zénó@email.hu,+36966890136
1106,Szűcs Nikolasz,2709,82237041-1-03,Szűcs.Nikolasz@email.hu,+36246847110
1107,Balogh Richárd,854,92673890-1-42,Balogh.Richárd@email.hu,+36129509663
1108,Varga Roland,202,64110213-2-05,Varga.Roland@email.hu,+36870782601
1109,Borbély Emma,2340,18094063-2-07,Borbély.Emma@email.hu,+36411471625
1110,Bogdán Barbara,638,84853611-2-41,Bogdán.Barbara@email.hu,+36917078732
1111,Veres Szilárd,1375,32509004-2-41,Veres.Szilárd@email.hu,+36838095084
1112,Gulyás Tamás,144,15984571-2-03,Gulyás.Tamás@email.hu,+36351649535
1113,László Tamás,2139,37185540-2-30,László.Tamás@email.hu,+36496372157
1114,Szabó Rozina,1308,71791266-2-10,Szabó.Rozina@email.hu,+36698501688
1115,Farkas Zénó,1865,58950494-2-25,Farkas.Zénó@email.hu,+36545018639
1116,Bognár Tibor,1879,87145908-2-07,Bognár.Tibor@email.hu,+36338898719
1117,Lengyel Boróka,35,24534400-2-03,Lengyel.Boróka@email.hu,+36695478989
1118,Borbély Flóra,1059,77372808-1-25,Borbély.Flóra@email.hu,+36592074883
1119,Farkas Szófia,629,39690028-2-05,Farkas.Szófia@email.hu,+36630689576
1120,Hajdu Flóra,893,61599740-2-42,Hajdu.Flóra@email.hu,+36224005840
